config,tau_cut_ns,zbin,z_center,kpar_min_h,sigma_apar,sigma_aperp
archive7yr,150,2.3550-2.5100,2.4325,0.1945,0.0791526,0.585026
archive7yr,200,0.8000-0.9000,0.85,0.39871,inf,inf
archive7yr,200,0.9000-1.0000,0.95,0.38105,inf,inf
archive7yr,200,1.0000-1.1000,1.05,0.36574,inf,inf
archive7yr,200,1.1000-1.2000,1.15,0.35233,inf,inf
archive7yr,200,1.2000-1.3000,1.25,0.34045,2.10665,116.898
archive7yr,200,1.3000-1.4000,1.35,0.32986,1.6074,18.858
archive7yr,200,1.4000-1.5000,1.45,0.32033,1.09241,10.2151
archive7yr,200,1.5000-1.6000,1.55,0.3117,0.579866,6.20171
archive7yr,200,1.6000-1.7000,1.65,0.30383,0.496703,5.15181
archive7yr,200,1.7000-1.8000,1.75,0.29661,0.557389,4.96942
archive7yr,200,1.8000-1.9000,1.85,0.28996,0.568495,5.48805
archive7yr,200,1.9000-2.0400,1.97,0.28263,0.426054,3.79215
archive7yr,200,2.0400-2.2000,2.12,0.2743,0.337499,3.55732
archive7yr,200,2.2000-2.3550,2.2775,0.2664,0.328673,3.77996
archive7yr,200,2.3550-2.5100,2.4325,0.25934,0.339349,3.66162
archive7yr,280,0.8000-0.9000,0.85,0.5582,inf,inf
archive7yr,280,0.9000-1.0000,0.95,0.53348,inf,inf
archive7yr,280,1.0000-1.1000,1.05,0.51204,inf,inf
archive7yr,280,1.1000-1.2000,1.15,0.49326,inf,inf
archive7yr,280,1.2000-1.3000,1.25,0.47664,inf,inf
archive7yr,280,1.3000-1.4000,1.35,0.4618,inf,inf
archive7yr,280,1.4000-1.5000,1.45,0.44846,inf,inf
archive7yr,280,1.5000-1.6000,1.55,0.43638,inf,inf
archive7yr,280,1.6000-1.7000,1.65,0.42536,inf,inf
archive7yr,280,1.7000-1.8000,1.75,0.41526,inf,inf
archive7yr,280,1.8000-1.9000,1.85,0.40595,inf,inf
archive7yr,280,1.9000-2.0400,1.97,0.39568,32.9735,441.669
archive7yr,280,2.0400-2.2000,2.12,0.38402,12.8052,156.037
archive7yr,280,2.2000-2.3550,2.2775,0.37296,6.01323,129.186
archive7yr,280,2.3550-2.5100,2.4325,0.36307,5.61968,101.411
archive7yr,400,0.8000-0.9000,0.85,0.79743,inf,inf
archive7yr,400,0.9000-1.0000,0.95,0.76211,inf,inf
archive7yr,400,1.0000-1.1000,1.05,0.73149,inf,inf
archive7yr,400,1.1000-1.2000,1.15,0.70465,inf,inf
archive7yr,400,1.2000-1.3000,1.25,0.68091,inf,inf
archive7yr,400,1.3000-1.4000,1.35,0.65972,inf,inf
archive7yr,400,1.4000-1.5000,1.45,0.64066,inf,inf
archive7yr,400,1.5000-1.6000,1.55,0.6234,inf,inf
archive7yr,400,1.6000-1.7000,1.65,0.60766,inf,inf
archive7yr,400,1.7000-1.8000,1.75,0.59323,inf,inf
archive7yr,400,1.8000-1.9000,1.85,0.57993,inf,inf
archive7yr,400,1.9000-2.0400,1.97,0.56525,inf,inf
archive7yr,400,2.0400-2.2000,2.12,0.5486,inf,inf
archive7yr,400,2.2000-2.3550,2.2775,0.5328,inf,inf
archive7yr,400,2.3550-2.5100,2.4325,0.51867,inf,inf
