ch,rho,m,f,r_fine,penalty
26,98,40.42823217079863,0.36858682452944747,0.006505152665115155,1.594051552559115
26,99,40.42823217079863,0.3685488767455981,0.0065090033595837215,1.5939618543588796
26,100,40.42823217079863,0.36851092896174864,0.006650580091732881,1.5940902642015111
26,101,40.42823217079863,0.36851092896174864,0.006650580091732881,1.5940902642015111
26,102,40.42823217079863,0.3684729811778992,0.0066536768368229,1.5939993806035304
26,103,40.42823217079863,0.3684350333940498,0.006714208864226812,1.5939994491371814
26,104,28.947562514325952,0.37006678809957494,0.006523652409858892,1.5978259812231685
26,105,28.947562514325952,0.3700288403157256,0.006584345413684592,1.597826074955811
26,106,28.947562514325952,0.36995294474802676,0.006587310561451126,1.5976383068069242
26,107,20.727133751004565,0.3714708561020036,0.006466596640435677,1.6013045797662715
26,108,20.727133751004565,0.37143290831815423,0.006468652179992476,1.601211176180099
26,109,20.727133751004565,0.3713570127504554,0.006472257407264238,1.6010235981646883
26,110,20.727133751004565,0.37131906496660594,0.006502134961847335,1.600974483039452
26,111,14.841113939020591,0.37443078324225865,0.006324604483733056,1.6086542904067536
26,112,10.626585691826111,0.3776183970856102,0.005794510847661426,1.6160415188011445
26,113,10.626585691826111,0.3772768670309654,0.005994937056799595,1.6154770616283232
26,114,10.626585691826111,0.3770491803278688,0.006016052346582779,1.6149205050826725
26,115,7.608884611337714,0.382172131147541,0.005692545199711808,1.6277876021806281
26,116,7.608884611337714,0.38179265330904677,0.005848696770273924,1.627040995475432
26,117,5.448139854853323,0.38983758348512443,0.005633191405823237,1.648140174135596
26,118,5.448139854853323,0.38949605343047966,0.005669466348367028,1.6472775843617706
26,119,5.448139854853323,0.38907862780813596,0.006190372843910364,1.6470047024773415
26,120,5.448139854853323,0.38854735883424407,0.006270528685267618,1.6457047708008545
26,121,5.448139854853323,0.3878642987249544,0.006358082834688253,1.6440114189361914
26,122,3.900995927026255,0.3954918032786885,0.006572472585543577,1.6651097173618483
26,123,2.793204585069363,0.4094186399514268,0.006217161398151015,1.703773991978672
31,61,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,62,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,63,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,64,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,65,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,66,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,67,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,68,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,69,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,70,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,71,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,72,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,73,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,74,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,75,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,76,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,77,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,78,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,79,1.5500000000000005,0.9945469798657718,0.007215166988343719,184.70776600770768
31,80,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,81,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,82,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,83,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,84,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,85,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,86,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,87,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,88,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,89,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,90,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,91,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,92,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,93,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,94,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,95,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,96,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,97,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,98,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,99,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,100,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,101,1.5000000000000004,0.9945469798657718,0.007215166988343719,184.70776600770768
31,102,1.3000000000000003,0.9946437790397522,0.007173960868309526,188.03816503151037
31,103,1.3000000000000003,0.9946437790397522,0.007173960868309526,188.03816503151037
31,104,1.2000000000000002,0.9947083118224058,0.007108817662535176,190.31900290852147
31,105,1.2500000000000002,0.994676045431079,0.007069388104958238,189.1581483402971
31,106,1.1500000000000001,0.9947405782137326,0.007002838246893928,191.46645376041747
31,107,1.07,0.9948373773877129,0.006718118519854513,195.00129955729514
35,61,7.608884611337714,0.7143934632306725,0.02194718143071219,3.5781645370956494
35,62,7.608884611337714,0.7143934632306725,0.02194718143071219,3.5781645370956494
35,63,7.608884611337714,0.7143934632306725,0.02194718143071219,3.5781645370956494
35,64,7.608884611337714,0.7143934632306725,0.02194718143071219,3.5781645370956494
35,65,7.608884611337714,0.7143683218101823,0.022113891440085538,3.578433239330112
35,66,7.608884611337714,0.714343180389692,0.022654646708297095,3.580011316037891
35,67,7.608884611337714,0.7142928975487115,0.023085772528766674,3.5808902325177487
35,68,7.608884611337714,0.7142677561282212,0.023585979129618784,3.5823257650576843
35,69,7.608884611337714,0.7142677561282212,0.023585979129618784,3.5823257650576843
35,70,7.608884611337714,0.714242614707731,0.02401247709336339,3.583503103676626
35,71,7.608884611337714,0.7141671904462602,0.024999677514586354,3.5860112739152674
35,72,7.608884611337714,0.7140917661847894,0.025878608102524087,3.5881394334574304
35,73,7.608884611337714,0.7140666247642992,0.02634275325167853,3.5894472004383635
35,74,7.608884611337714,0.7140163419233186,0.027328603837579124,3.5922633158364574
35,75,7.608884611337714,0.7140163419233186,0.027328603837579124,3.5922633158364574
35,76,5.448139854853323,0.7171087366436204,0.0163194982310178,3.5926153610148184
35,77,5.448139854853323,0.71708359522313,0.016319597127324732,3.59229645212293
35,78,5.448139854853323,0.71708359522313,0.016319597127324732,3.59229645212293
35,79,5.448139854853323,0.7170584538026399,0.01650313583469324,3.5926259310311823
35,80,5.448139854853323,0.7170081709616594,0.017482667705704922,3.5954489257280047
35,81,5.448139854853323,0.7169327467001886,0.017898493939534434,3.595959907313703
35,82,5.448139854853323,0.7169076052796983,0.017921802978095286,3.595722887518094
