metric,zbin,scenario,planck_hours,pact_hours,planck_penalty,pact_penalty,relative_penalty_shift_pct
bin_5sigma,8,uniform97_dtv,61146.00524582319,54313.89184453056,33.33333333255932,33.333333333333286,2.32189822924056e-09
bin_5sigma,8,legacy_rate_table_fourier,2502.1578998105833,2213.250525009323,1.3640345430543077,1.3583084362926177,-0.4197919173563047
bin_5sigma,8,uniform25_dtv,2445.8402098331208,2172.5556737762045,1.3333333333024782,1.333333333330252,2.0830448477227037e-09
bin_5sigma,8,uniform90_dtv,18343.801574172947,16294.167553359208,10.000000000000021,10.00000000000001,-1.1102230246251565e-13
bin_5sigma,8,uniform50_chime,3668.7603147512727,3258.8335106717254,1.9999999999545848,1.9999999999999307,2.2672974608894947e-09
bin_5sigma,8,ch30_excised,1834.3801574172908,1629.416755335919,1.0,1.0,0.0
bin_5sigma,8,ch30_kept,1834.3801574172908,1629.416755335919,1.0,1.0,0.0
bin_5sigma,8,ch30_kept_fourier,1834.3801574172908,1629.416755335919,1.0,1.0,0.0
da_2pct,8,clean,3596.679114629033,3229.786250268875,1.0,1.0,0.0
da_2pct,8,legacy_rate_table,4792.713346277942,4294.947502357024,1.3325384871795187,1.3297931099927978,-0.20602610829889567
da_2pct,8,uniform50_dtv,7193.358229369857,6459.5725005229215,2.000000000031082,1.9999999999954088,-1.7836510046720377e-09
da_2pct,8,uniform75_dtv,14386.716458761637,12919.145001045845,4.000000000068259,3.9999999999908185,-1.9360180125715942e-09
da_2pct,8,uniform97_dtv,119889.30381914575,107659.5416732859,33.33333333282675,33.333333332607815,-6.567968391379964e-10
da_2pct,8,legacy_rate_table_fourier,4793.381819569953,4295.546548762877,1.3327243456536015,1.329978585550446,-0.20602610825788403
da_2pct,8,uniform25_dtv,4795.57215288864,4306.38166701528,1.3333333333472153,1.3333333333302724,-1.2707168650649692e-09
da_2pct,8,uniform90_dtv,35966.79114629033,32297.862502688782,10.0,10.00000000000001,1.1102230246251565e-13
da_2pct,8,uniform50_chime,7193.358229369857,6459.5725005229215,2.000000000031082,1.9999999999954088,-1.7836510046720377e-09
da_2pct,8,ch30_excised,3596.679114629033,3229.786250268875,1.0,1.0,0.0
da_2pct,8,ch30_kept,3596.679114629033,3229.786250268875,1.0,1.0,0.0
da_2pct,8,ch30_kept_fourier,3596.679114629033,3229.786250268875,1.0,1.0,0.0
