# 087bb88aa1dda9cdfed7d1558d5a4c2ab8056c1288aab0fb24fe21f4f82d4670#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6832,"mnu":0.06,"ns":0.9742,"ombh2":0.022506,"omch2":0.11755,"omnuh2":0.000644883920894239,"sigma_8":0.8117},"data_sha256":"468d0f6b5dc2a91da3fafb72822b8bedb754c8f822c6c072aae47f7c1a343623","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.4"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.084858645059990707e-04 2.123522580355108857e+03
1.094365291573448954e-04 2.141625599016743308e+03
1.103955245095007763e-04 2.159882543236098172e+03
1.113629235646298522e-04 2.178294716733407768e+03
1.123387999646152690e-04 2.196863434131069880e+03
1.133232279966660743e-04 2.215590021125517978e+03
1.143162825989721176e-04 2.234475814579993312e+03
1.153180393664088104e-04 2.253522161374297866e+03
1.163285745562914344e-04 2.272730406363502880e+03
1.173479650941803529e-04 2.292101897236942477e+03
1.183762885797366921e-04 2.311637992330546240e+03
1.194136232926295893e-04 2.331340060816175992e+03
1.204600481984951306e-04 2.351209482781864608e+03
1.215156429549474120e-04 2.371247655475672673e+03
1.225804879176424413e-04 2.391456013762293878e+03
1.236546641463951118e-04 2.411836011808403782e+03
1.247382534113496816e-04 2.432389116398867827e+03
1.258313381992045307e-04 2.453116807048781993e+03
1.269340017194911822e-04 2.474020575948885835e+03
1.280463279109086722e-04 2.495101911345047029e+03
1.291684014477131599e-04 2.516362282660306391e+03
1.303003077461636450e-04 2.537803167455660514e+03
1.314421329710242802e-04 2.559426054786142686e+03
1.325939640421233072e-04 2.581232445281131277e+03
1.337558886409699957e-04 2.603223852710947995e+03
1.349279952174289659e-04 2.625401829090405499e+03
1.361103729964535712e-04 2.647767962045602872e+03
1.373031119848779102e-04 2.670323853597206380e+03
1.385063029782684419e-04 2.693071119561526757e+03
1.397200375678356397e-04 2.716011389671522011e+03
1.409444081474064676e-04 2.739146303041141891e+03
1.421795079204574651e-04 2.762477483042332551e+03
1.434254309072097926e-04 2.786006554450920248e+03
1.446822719517865108e-04 2.809735154828157647e+03
1.459501267294323649e-04 2.833664934639495186e+03
1.472290917537968035e-04 2.857797557359067923e+03
1.485192643842812648e-04 2.882134705838843729e+03
1.498207428334502405e-04 2.906678093190940672e+03
1.511336261745076085e-04 2.931429449396961445e+03
1.524580143488385876e-04 2.956390518720176715e+03
1.537940081736175293e-04 2.981563059820858598e+03
1.551417093494823621e-04 3.006948845765308761e+03
1.565012204682766895e-04 3.032549660661374674e+03
1.578726450208592434e-04 3.058367298869855404e+03
1.592560874049820502e-04 3.084403569077833254e+03
1.606516529332374427e-04 3.110660294667152357e+03
1.620594478410750572e-04 3.137139313829105504e+03
1.634795792948886813e-04 3.163842479529174852e+03
1.649121554001742513e-04 3.190771658289758307e+03
1.663572852097590284e-04 3.217928730895148419e+03
1.678150787321033887e-04 3.245315593311075645e+03
1.692856469396748212e-04 3.272934156810887998e+03
1.707691017773957875e-04 3.300786348093624838e+03
1.722655561711649273e-04 3.328874106520894202e+03
1.737751240364539685e-04 3.357199375608908667e+03
1.752979202869789322e-04 3.385764111345418769e+03
1.768340608434479367e-04 3.414570285028936723e+03
1.783836626423856270e-04 3.443619883378366467e+03
1.799468436450344755e-04 3.472914908754418775e+03
1.815237228463347397e-04 3.502457388154348791e+03
1.831144202839825926e-04 3.532249380196855782e+03
1.847190570475679952e-04 3.562292961755878878e+03
1.863377552877921496e-04 3.592590226600165352e+03
1.879706382257664301e-04 3.623143285526045929e+03
1.896178301623921143e-04 3.653954266144678968e+03
1.912794564878228661e-04 3.685025307792011517e+03
1.929556436910096720e-04 3.716358562543088738e+03
1.946465193693298033e-04 3.747956199556841511e+03
1.963522122382997768e-04 3.779820405329472123e+03
1.980728521413737775e-04 3.811953383825679339e+03
1.998085700598280050e-04 3.844357353608818812e+03
2.015594981227308608e-04 3.877034533147725597e+03
2.033257696170018237e-04 3.909987151585451556e+03
2.051075189975570888e-04 3.943217455116190195e+03
2.069048818975452756e-04 3.976727707110320807e+03
2.087179951386717170e-04 4.010520188241086544e+03
2.105469967416144701e-04 4.044597200224942299e+03
2.123920259365305878e-04 4.078961071493096824e+03
2.142532231736546833e-04 4.113614149946371072e+03
2.161307301339908708e-04 4.148558801742126889e+03
2.180246897400977852e-04 4.183797411424186976e+03
2.199352461669684157e-04 4.219332382317719748e+03
2.218625448530052403e-04 4.255166144135665490e+03
2.238067325110915020e-04 4.291301154461870283e+03
2.257679571397594941e-04 4.327739890849594303e+03
2.277463680344568846e-04 4.364484850506120893e+03
2.297421157989113232e-04 4.401538550439907340e+03
2.317553523565952557e-04 4.438903524936492431e+03
2.337862309622907296e-04 4.476582304201830993e+03
2.358349062137557071e-04 4.514577424999768482e+03
2.379015340634925652e-04 4.552891443016978883e+03
2.399862718306197836e-04 4.591526933098154586e+03
2.420892782128479070e-04 4.630486489370623531e+03
2.442107132985594543e-04 4.669772726342245733e+03
2.463507385789964082e-04 4.709388281658729284e+03
2.485095169605526012e-04 4.749335813599779613e+03
2.506872127771754707e-04 4.789618000417528492e+03
2.528839918028750956e-04 4.830237540468106999e+03
2.551000212643439848e-04 4.871197152379076215e+03
2.573354698536869109e-04 4.912499577514778139e+03
2.595905077412620390e-04 4.954147581649441236e+03
2.618653065886352447e-04 4.996143951753123474e+03
2.641600395616474609e-04 5.038491495795308765e+03
2.664748813435967876e-04 5.081193042884600800e+03
2.688100081485356890e-04 5.124251443192565603e+03
2.711655977346856105e-04 5.167669565159108060e+03
2.735418294179679300e-04 5.211450296295289263e+03
2.759388840856546055e-04 5.255596545563188556e+03
2.783569442101378136e-04 5.300111243571437626e+03
2.807961938628203685e-04 5.344997342715097147e+03
2.832568187281278419e-04 5.390257813819708645e+03
2.857390061176435245e-04 5.435895630552508919e+03
2.882429449843676352e-04 5.481913781526885941e+03
2.907688259371004561e-04 5.528315276700614959e+03
2.933168412549526979e-04 5.575103147503016771e+03
2.958871849019822291e-04 5.622280446995123384e+03
2.984800525419593377e-04 5.669850259137190733e+03
3.010956415532613380e-04 5.717815711362760339e+03
3.037341510438977695e-04 5.766179957125938927e+03
3.063957818666672721e-04 5.814946173133272168e+03
3.090807366344472222e-04 5.864117559491923203e+03
3.117892197356171048e-04 5.913697338753600889e+03
3.145214373496174110e-04 5.963688728642537171e+03
3.172775974626451450e-04 6.014094939308966786e+03
3.200579098834858320e-04 6.064919201378279467e+03
3.228625862594853885e-04 6.116164767486018718e+03
3.256918400926610952e-04 6.167834912386446376e+03
3.285458867559548179e-04 6.219932936516654991e+03
3.314249435096268490e-04 6.272462191403409633e+03
3.343292295177958452e-04 6.325426066277605969e+03
3.372589658651214462e-04 6.378827974608374461e+03
3.402143755736340746e-04 6.432671354148286810e+03
3.431956836197128363e-04 6.486959667073842866e+03
3.462031169512109281e-04 6.541696392515139451e+03
3.492369045047319658e-04 6.596885008134342570e+03
3.522972772230571238e-04 6.652529009798222432e+03
3.553844680727260706e-04 6.708631917022302332e+03
3.584987120617703416e-04 6.765197273087265785e+03
3.616402462576037051e-04 6.822228645125420371e+03
3.648093098050678943e-04 6.879729622648400436e+03
3.680061439446378796e-04 6.937703816782351169e+03
3.712309920307857057e-04 6.996154862541159673e+03
3.744840995505048986e-04 7.055086419134571770e+03
3.777657141419991297e-04 7.114502170081340410e+03
3.810760856135316128e-04 7.174405822326783891e+03
3.844154659624433108e-04 7.234801094218795697e+03
3.877841093943340989e-04 7.295691719015268973e+03
3.911822723424151224e-04 7.357081453743602651e+03
3.946102134870285022e-04 7.418974079483053174e+03
3.980681937753397523e-04 7.481373401459975867e+03
4.015564764412014485e-04 7.544283253838579185e+03
4.050753270251917235e-04 7.607707519037454404e+03
4.086250133948285661e-04 7.671650112364874985e+03
4.122058057649597611e-04 7.736114974887693279e+03
4.158179767183341072e-04 7.801106073546918196e+03
4.194618012263501197e-04 7.866627401170679150e+03
